,comic_name,issue_title,publish_date,issue_description,penciler,writer,cover_artist,Price
85,Daredevil (2019 - 2021),Daredevil (2019) #19,2020-03-04,,Marco Checchetto,Chip Zdarsky,,$3.99
86,Daredevil (2019 - 2021),Daredevil (2019) #19 (Variant),2020-03-04,,Marco Checchetto,Chip Zdarsky,,$3.99
87,Daredevil (2019 - 2021),Daredevil (2019) #18 (Variant),2020-02-19,,Jorge Fornes,Chip Zdarsky,,$3.99
88,Daredevil (2019 - 2021),Daredevil (2019) #18,2020-02-19,,Jorge Fornes,Chip Zdarsky,,$3.99
89,Daredevil (2019 - 2021),Daredevil (2019) #17,2020-02-05,,Jorge Fornes,Chip Zdarsky,,$3.99
90,Daredevil (2019 - 2021),Daredevil (2019) #16,2020-01-01,,Jorge Fornes,Chip Zdarsky,,$3.99
91,Daredevil (2019 - 2021),Daredevil (2019) #16 (Variant),2020-01-01,,Jorge Fornes,Chip Zdarsky,,$3.99
92,Daredevil (2019 - 2021),Daredevil (2019) #15,2019-12-18,"As Mayor Fisk suffers an existential crisis, his city descends into chaos. Matt Murdock, on the other hand, has more conviction than ever – and stands poised to reprise his role as Hell’s Kitchen’s protector.",Francesco Mobili,Chip Zdarsky,,$3.99
93,Daredevil (2019 - 2021),Daredevil (2019) #15 (Variant),2019-12-18,,Francesco Mobili,Chip Zdarsky,,$3.99
94,Daredevil (2019 - 2021),Daredevil (2019) #14,2019-12-04,,Francesco Mobili,Chip Zdarsky,,$3.99
95,Daredevil (2019 - 2021),Daredevil (2019) #14 (Variant),2019-12-04,,Francesco Mobili,Chip Zdarsky,,$3.99
96,"Daredevil By Chip Zdarsky Vol. 2: No Devils, Only God (2019)","Daredevil By Chip Zdarsky Vol. 2: No Devils, Only God (Trade Paperback)",2019-12-04,,,,,$15.99
97,Daredevil (2019 - 2021),Daredevil (2019) #13 (Variant),2019-11-06,,Marco Checchetto,Chip Zdarsky,,$3.99
98,Daredevil (2019 - 2021),Daredevil (2019) #13,2019-11-06,,Marco Checchetto,Chip Zdarsky,,$3.99
99,Daredevil Epic Collection: A Woman Called Widow  (2019),Daredevil Epic Collection: A Woman Called Widow  (Trade Paperback),2019-10-23,,Barry Windsor-Smith,Roy Thomas,,$39.99
