,description,writer,penciler,comic_name,issue_title,publish_date,Price,cover artist
25,,Steve Orlando,Paul Fry,Spider-Man 2099: Exodus Omega (2022),Spider-Man 2099: Exodus Omega (2022) #1,2022-09-07T00:00:00-0400,4.99,Sunny Gho
26,,Chip Zdarsky,Pasqual Ferry,Spider-Man: Spider's Shadow (2021),Spider-Man: Spider's Shadow (Trade Paperback),2022-08-17T00:00:00-0400,17.99,
27,,Steve Orlando,Kim Jacinto,Spider-Man 2099: Exodus (2022),Spider-Man 2099: Exodus (2022) #5 (Variant),2022-08-03T00:00:00-0400,3.99,Israel Silva
28,,Steve Orlando,Kim Jacinto,Spider-Man 2099: Exodus (2022),Spider-Man 2099: Exodus (2022) #5,2022-08-03T00:00:00-0400,3.99,Arif Prianto
29,,Steve Orlando,Kim Jacinto,Spider-Man 2099: Exodus (2022),Spider-Man 2099: Exodus (2022) #5 (Variant),2022-08-03T00:00:00-0400,3.99,Juan Fernandez
30,,Steve Orlando,Alessandro Miracolo,Spider-Man 2099: Exodus (2022),Spider-Man 2099: Exodus (2022) #4 (Variant),2022-07-13T00:00:00-0400,3.99,Israel Silva
31,,Steve Orlando,Ze Carlos,Spider-Man 2099: Exodus (2022),Spider-Man 2099: Exodus (2022) #3,2022-07-13T00:00:00-0400,3.99,Marte Gracia
32,,Steve Orlando,Alessandro Miracolo,Spider-Man 2099: Exodus (2022),Spider-Man 2099: Exodus (2022) #4 (Variant),2022-07-13T00:00:00-0400,3.99,Juan Fernandez
33,,Steve Orlando,Alessandro Miracolo,Spider-Man 2099: Exodus (2022),Spider-Man 2099: Exodus (2022) #4,2022-07-13T00:00:00-0400,3.99,Marte Gracia
34,,Steve Orlando,Ze Carlos,Spider-Man 2099: Exodus (2022),Spider-Man 2099: Exodus (2022) #3 (Variant),2022-06-29T00:00:00-0400,3.99,Juan Fernandez
35,"FEATURING THE NEW AVENGERS OF 2099! 2099's MASTERS OF EVIL once killed the AVENGERS as a statement of their might. Now they return from the stars to reap the Celestial Garden's wealth. But one Avenger survived: MOON KNIGHT, who has gathered a new team of heroes! Can SPIDER-MAN and these NEW AVENGERS repel the Masters of Evil and save 2099's new Eden?",Steve Orlando,Ze Carlos,Spider-Man 2099: Exodus (2022),Spider-Man 2099: Exodus (2022) #3 (Variant),2022-06-29T00:00:00-0400,3.99,
36,,Steve Orlando,Marco Castiello,Spider-Man 2099: Exodus (2022),Spider-Man 2099: Exodus (2022) #2 (Variant),2022-06-15T00:00:00-0400,3.99,Juan Fernandez
37,,Steve Orlando,Marco Castiello,Spider-Man 2099: Exodus (2022),Spider-Man 2099: Exodus (2022) #2 (Variant),2022-06-15T00:00:00-0400,3.99,
38,,Steve Orlando,Marco Castiello,Spider-Man 2099: Exodus (2022),Spider-Man 2099: Exodus (2022) #2,2022-06-15T00:00:00-0400,3.99,Marte Gracia
39,,Steve Orlando,Dave Wachter,Spider-Man 2099: Exodus (2022),Spider-Man 2099: Exodus (2022) #1 (Variant),2022-05-25T00:00:00-0400,3.99,Juan Fernandez
40,,,,Spider-Man (1990 - 1998),Spider-Man (1990) #3 (veve),2022-05-25T00:00:00-0400,0.0,
41,,Steve Orlando,Dave Wachter,Spider-Man 2099: Exodus (2022),Spider-Man 2099: Exodus (2022) #1,2022-05-25T00:00:00-0400,3.99,Marte Gracia
42,,Steve Orlando,Dave Wachter,Spider-Man 2099: Exodus (2022),Spider-Man 2099: Exodus (2022) #1 (Variant),2022-05-25T00:00:00-0400,3.99,Ron Lim
43,,Steve Orlando,Dave Wachter,Spider-Man 2099: Exodus (2022),Spider-Man 2099: Exodus (2022) #1 (Variant),2022-05-25T00:00:00-0400,3.99,Frank D'ARMATA
44,,,,Spider-Man (1990 - 1998),Spider-Man (1990) #3 (veve),2022-05-25T00:00:00-0400,0.0,Philip Tan
45,,Steve Orlando,Paul Fry,Spider-Man 2099: Exodus Alpha (2022),Spider-Man 2099: Exodus Alpha (2022) #1,2022-05-04T00:00:00-0400,4.99,Romulo Fajardo Jr.
46,,Chip Zdarsky,Mark Bagley,Spider-Man: Life Story (2021),Spider-Man: Life Story (Trade Paperback),2021-12-29T00:00:00-0500,34.99,
